gene_id,symbol,product,biotype,protein_id,log2FoldChange,lfcSE,pvalue,padj,WT_mean,KO_mean
HFX_RS14305,"",ABC transporter ATP-binding protein,protein_coding,WP_004059120.1,-0.356036858733269,0.27441624766813,0.0455690184553206,0.20254051760415,238.553372273968,151.014735102185
HFX_RS01595,"",CrcB family protein,protein_coding,WP_004058179.1,-0.394051220066025,0.414530836042191,0.045730013030152,0.203024590878739,227.092076047081,104.351934011436
HFX_RS09230,"",hypothetical protein,protein_coding,WP_004060370.1,-0.237020672481009,0.143234571263398,0.0459065237660441,0.203576370466485,1275.02240021767,1033.21293545957
HFX_RS08795,"",glycosyltransferase family 39 protein,protein_coding,WP_004056526.1,-0.379719202317837,0.33964735231628,0.0460857863334905,0.204139085372666,1555.66567156847,855.355374591398
HFX_RS02505,"",C-terminal binding protein,protein_coding,WP_049917439.1,0.33663645985927,0.244712788424309,0.0462825050702655,0.204777757961288,29423.1438305921,43492.7251603231
HFX_RS05560,"",hypothetical protein,protein_coding,WP_004572530.1,-0.242059146799705,0.147886040817514,0.0465579389200032,0.205670018983475,10772.7027152045,8667.08384300098
HFX_RS02835,"",UbiA family prenyltransferase,protein_coding,WP_231512922.1,0.376293429231124,0.331226895276195,0.0466087672681069,0.205670018983475,585.312495746979,1044.61637531209
HFX_RS02085,"",cytochrome ubiquinol oxidase subunit I,protein_coding,WP_004057983.1,0.318817680265753,0.222143887386494,0.0466858543026054,0.205670018983475,38127.2275549227,53899.2012877111
HFX_RS07720,"",ribbon-helix-helix domain-containing protein,protein_coding,WP_004056877.1,-0.369928829326365,0.311768714106094,0.0467330262448919,0.205670018983475,266.965708867421,155.990744933136
HFX_RS11605,"",30S ribosomal protein S8e,protein_coding,WP_004059791.1,-0.367535094438367,0.305311272411025,0.0467614996413125,0.205670018983475,43002.0595105849,25587.8337915221
HFX_RS10955,"",hypothetical protein,protein_coding,WP_004059960.1,0.381125656764579,0.35229584892697,0.0468007457255881,0.205670018983475,550.252253445234,1030.7393402877
HFX_RS06260,"",DUF5795 family protein,protein_coding,WP_269321955.1,-0.300796344930958,0.202146069606455,0.0468949311111476,0.205851848503664,827.243742720908,607.022861765237
HFX_RS11890,"",Lrp/AsnC family transcriptional regulator,protein_coding,WP_004059734.1,0.244490188563725,0.150424127726355,0.0471397742703861,0.206693858386912,13507.854954628,16851.0134666917
HFX_RS19210,"",IS6 family transposase,pseudogene,"",-0.37220120464709,0.323750477596296,0.0475050431724468,0.207994498021592,32.6701534107998,18.7346164436421
HFX_RS18625,sod,superoxide dismutase,protein_coding,WP_004060713.1,-0.363741486901983,0.299534613064695,0.0475431240988297,0.207994498021592,7408.64058550708,4468.84147594645
HFX_RS12410,"",hypothetical protein,protein_coding,WP_004059629.1,0.394117372760627,0.486384452420622,0.0477290366980698,0.208573750055018,2231.79848910715,5823.96056190624
HFX_RS14520,"",hypothetical protein,protein_coding,WP_137685653.1,0.348178242210001,0.268060339676977,0.0479492608206502,0.209101876899933,2828.11808992229,4378.91854984491
HFX_RS05550,"",hypothetical protein,protein_coding,WP_004572532.1,-0.35471662497542,0.280929075506132,0.0480024573628668,0.209101876899933,21598.728113541,13577.7130191629
HFX_RS05320,purH,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,protein_coding,WP_004572581.1,0.330439511212076,0.240068525886599,0.0480108208890303,0.209101876899933,5271.75717166973,7702.60353163121
HFX_RS10550,"",hypothetical protein,protein_coding,WP_004060054.1,0.316498470157042,0.222318978669814,0.0482450039660894,0.209481144828904,94.1404230303496,133.633718682468
HFX_RS08910,"",23S ribosomal RNA,rRNA,"",-0.388316862927032,0.590460177982951,0.048254212684121,0.209481144828904,46739.1211822337,12671.6710067281
HFX_RS19675,"",hypothetical protein,protein_coding,WP_137685674.1,0.362503075012545,0.299965203224237,0.0482591246937803,0.209481144828904,108.346375026773,181.045256365465
HFX_RS15775,"",energy-coupling factor ABC transporter permease,protein_coding,WP_004056378.1,-0.364124012848541,0.305146357567017,0.0484319209520934,0.209638674279991,3958.48602284662,2360.2998619108
HFX_RS06270,"",hypothetical protein,protein_coding,WP_014732262.1,-0.391755974444884,0.478791290099742,0.0484404520653269,0.209638674279991,92.8804602485911,36.5465646661658
HFX_RS01910,"",universal stress protein,protein_coding,WP_004058053.1,0.380063259750864,0.365790669700405,0.0484567587291615,0.209638674279991,7619.07440975958,14687.3436957799
HFX_RS13700,"",acyltransferase,protein_coding,WP_004059299.1,-0.365363815628075,0.30957329665896,0.0486044756668555,0.209840768762352,838.433727176263,494.634981281107
HFX_RS11755,"",MATE family efflux transporter,protein_coding,WP_004059761.1,0.313462457512555,0.219322945102036,0.0486111375557733,0.209840768762352,20974.3087807524,29428.5007644308
HFX_RS17925,"",orc1/cdc6 family replication initiation protein,protein_coding,WP_004060871.1,-0.377905813375804,0.35911263820656,0.0488547710956526,0.210659178905812,3339.856353329,1760.23034770438
HFX_RS15610,"",IclR family transcriptional regulator,protein_coding,WP_004056411.1,-0.310258216773016,0.216062047819539,0.0489144928950178,0.210683639010806,378.554079443096,272.210633267704
HFX_RS00665,"",AAA family ATPase,protein_coding,WP_014732047.1,-0.287963862890053,0.191967805129602,0.0490039991087692,0.210836190426029,2491.02415143043,1865.68259041754
HFX_RS19895,"",DUF6757 family protein,protein_coding,WP_004045157.1,0.351855828175289,0.279851424816401,0.0492737765080902,0.211546281201074,545.812841112524,866.061332710759
HFX_RS15190,"",hypothetical protein,protein_coding,WP_004060487.1,0.3787623304757,0.368973441543842,0.049277584230522,0.211546281201074,3985.54862468222,7737.05016153715
HFX_RS08745,"",L-lactate permease,protein_coding,WP_014732363.1,-0.386387335736886,0.432523399596408,0.0493559627604512,0.211649662090472,1227.355217678,541.309162200598
HFX_RS05310,"",glucose 1-dehydrogenase,protein_coding,WP_004572583.1,0.240153412263869,0.149302533492539,0.0498030747641512,0.213332291682045,13303.0337059982,16530.0215724534
HFX_RS05045,"",DUF4097 family beta strand repeat-containing protein,protein_coding,WP_004572636.1,0.274447223631684,0.180070390895994,0.0500742818347988,0.214069216355709,537.973128498305,701.323824168631
HFX_RS17590,"",ABC transporter substrate-binding protein,protein_coding,WP_049917571.1,0.317095210623134,0.226618177831824,0.0500849474900993,0.214069216355709,1403.03212384505,1990.8310977527
HFX_RS05125,gatC,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC,protein_coding,WP_004572620.1,-0.373181647406021,0.349638774132758,0.0501412674006906,0.214075202987833,1006.57977124338,542.692531241397
HFX_RS12675,"",aspartate aminotransferase family protein,protein_coding,WP_004059576.1,0.204852741677644,0.121738979492697,0.0502347302818101,0.214204895447344,31294.168900999,37259.254561277
HFX_RS15790,"",ABC transporter ATP-binding protein,protein_coding,WP_004056375.1,-0.375562966478919,0.363480121690312,0.0502815493417957,0.214204895447344,977.176201966052,509.998641594824
HFX_RS05615,"",protein sorting system archaetidylserine synthase,protein_coding,WP_004572518.1,-0.341633364261877,0.264439717935805,0.0505397550742181,0.215069831090941,1141.84817999795,744.952947429783
HFX_RS16775,"",alpha/beta family hydrolase,protein_coding,WP_014732714.1,0.35898180674525,0.303683583427618,0.0508238079070583,0.216042751604922,534.695757209673,892.890747251121
HFX_RS11220,"",BGTF surface domain-containing protein,protein_coding,WP_004059902.1,0.239984583941928,0.150308833539207,0.0510713065538302,0.216858336543388,3227298.40530761,4012229.98209204
HFX_RS17660,"",Rid family detoxifying hydrolase,protein_coding,WP_004060939.1,-0.384269656568477,0.488242853635216,0.0512040918085443,0.217185582012738,2866.91722102171,1089.53415687629
HFX_RS06340,"",hypothetical protein,protein_coding,WP_004057237.1,-0.341325187981875,0.266194672987096,0.0512916195472792,0.217208116995934,131.140428609791,85.7059451994266
HFX_RS00910,"",twin-arginine translocase subunit TatC,protein_coding,WP_004058456.1,0.322348982240853,0.236156991001732,0.0513208506293625,0.217208116995934,12644.5895445733,18266.0622080591
HFX_RS19270,"",hypothetical protein,pseudogene,"",-0.371115829220605,0.352398188661005,0.0513844915629214,0.217241592312655,27.2770332069891,14.496948222537
HFX_RS07310,"",hypothetical protein,protein_coding,WP_004056960.1,-0.305784111194058,0.215543662181762,0.0516664258740956,0.218000697781973,368.587398157935,264.64307250835
HFX_RS01255,"",glutathione S-transferase N-terminal domain-containing protein,protein_coding,WP_004058320.1,-0.304446274830191,0.213995795440167,0.0516892753195584,0.218000697781973,97.363872473167,70.496912369854
HFX_RS20310,"",PGF-pre-PGF domain-containing protein,protein_coding,WP_004059544.1,0.378612743306208,0.411103758656228,0.051731822844619,0.218000697781973,103.293155070932,223.331493898463
HFX_RS15970,"",hypothetical protein,protein_coding,WP_004056324.1,0.381033880740682,0.464920305300703,0.052176590128143,0.219637525183047,2457.96014806589,6068.79370658788
HFX_RS09380,"",hypothetical protein,protein_coding,WP_004060332.1,-0.343584192100308,0.27423671954582,0.0524267967832467,0.220452701036781,195.948885113504,126.271475042798
HFX_RS16840,"",3-ketoacyl-CoA thiolase,protein_coding,WP_004060618.1,0.380540004361666,0.517578471424145,0.0524909160673052,0.220484472877539,9413.04579556394,27098.1814714567
HFX_RS01735,sepF,cell division protein SepF,protein_coding,WP_004058128.1,0.267075158022665,0.17619077175806,0.0527558112482573,0.221091752981342,13240.1365307822,17140.1346283521
HFX_RS12395,"",ABC transporter ATP-binding protein,protein_coding,WP_004059632.1,0.337402479392682,0.263577614561229,0.052789980754736,0.221091752981342,950.623387817491,1451.07022602104
HFX_RS13495,"",hypothetical protein,protein_coding,WP_004059338.1,-0.314550875104952,0.228680573413683,0.0528426395520277,0.221091752981342,285.726243238506,201.026559302613
HFX_RS16735,tnpA,IS200/IS605 family transposase,pseudogene,"",0.303545421469733,0.214889963846427,0.0528623688503362,0.221091752981342,139.991650416388,194.777849243096
HFX_RS06045,"",AMP-binding protein,protein_coding,WP_004572433.1,0.377499791928402,0.438074684456862,0.0530663179812098,0.221706867621389,6502.09333016978,14950.5607273467
HFX_RS04225,"",hypothetical protein,protein_coding,WP_004057357.1,0.246315633234932,0.15793592013845,0.0534362368383706,0.223013331044934,726.929030378271,913.361885250879
HFX_RS00575,sufS,bifunctional cysteine desulfurase/selenocysteine lyase SufS,protein_coding,WP_004058583.1,-0.298969520888496,0.211101519133463,0.0538606252441743,0.224544082568761,12722.1748984039,9257.53918575622
HFX_RS14050,"",GNAT family N-acetyltransferase,protein_coding,WP_004059224.1,-0.254934955493987,0.166236532590244,0.0540247581360411,0.224663564462583,1987.58674126631,1563.39246248216
HFX_RS15640,"",IucA/IucC family siderophore biosynthesis protein,protein_coding,WP_004056405.1,0.297097312762551,0.2091943807206,0.0540346476419565,0.224663564462583,1396.02878605696,1910.50797612861
HFX_RS09435,"",FAD-binding protein,protein_coding,WP_004060312.1,-0.300968714968143,0.213802344911023,0.0540689193918427,0.224663564462583,62585.1334705617,45329.4212240438
HFX_RS18630,"",hypothetical protein,protein_coding,WP_014732843.1,0.329320088444558,0.253273066994015,0.0541268930660604,0.224663564462583,795.448786750822,1187.08680734304
HFX_RS05445,"",PGF-CTERM-anchored ABC transporter substrate-binding protein,protein_coding,WP_004572554.1,-0.337819807879076,0.268577532194131,0.0541774629540349,0.224663564462583,8069.43821800133,5244.82342269435
HFX_RS06795,"",CopG family ribbon-helix-helix protein,protein_coding,WP_004057111.1,0.248957698949611,0.16110287054811,0.0542987928059063,0.224742719349705,427.23148730331,538.993490567075
HFX_RS09940,"",Gfo/Idh/MocA family oxidoreductase,protein_coding,WP_004060199.1,0.35697628668157,0.317459705729979,0.0543118629110883,0.224742719349705,8129.02557688336,13929.2379011741
HFX_RS06875,"",methyltransferase domain-containing protein,protein_coding,WP_004057073.1,0.365765325165847,0.361831154460863,0.0548023498061715,0.226377050665168,1776.62786293577,3378.19245710463
HFX_RS06805,"",helix-turn-helix domain-containing protein,protein_coding,WP_004057107.1,-0.346202439740846,0.289683228537473,0.0549841552855156,0.226377050665168,61.0057099762853,37.7669173637315
HFX_RS18670,fabG,3-oxoacyl-ACP reductase FabG,protein_coding,WP_004060705.1,-0.335600259086272,0.266809934162304,0.0549873224722751,0.226377050665168,1414.39378186182,922.980266187122
HFX_RS06685,lrpA1,HTH-type transcriptional regulator LrpA1,protein_coding,WP_004057150.1,-0.234914289348654,0.149449368982074,0.054987809968287,0.226377050665168,2591.79565053543,2094.51531072188
HFX_RS10020,"",Gfo/Idh/MocA family oxidoreductase,protein_coding,WP_004060182.1,0.283555635741018,0.195534983718034,0.0549971952231694,0.226377050665168,15352.8628710298,20495.0251000835
HFX_RS07665,leuB,3-isopropylmalate dehydrogenase,protein_coding,WP_004056888.1,-0.370549609609085,0.407722172510177,0.0551235203162615,0.226428103721192,4278.9407439705,2012.16549154808
HFX_RS05190,"",Na+/H+ antiporter subunit E,protein_coding,WP_004572607.1,-0.367541388989153,0.379761740905239,0.0551759974704359,0.226428103721192,4104.28187779485,2067.88203582443
HFX_RS02300,"",VanZ family protein,protein_coding,WP_004057880.1,-0.299579819811786,0.213945842057985,0.055183863143954,0.226428103721192,217.100373576743,156.779755584411
HFX_RS14060,"",universal stress protein,protein_coding,WP_179955348.1,0.351841467012285,0.306649883728055,0.0553131781851727,0.2266414341626,2046.19933414741,3418.80432389394
HFX_RS09590,"",tRNA-Leu,tRNA,"",-0.332592968592636,0.262285004380728,0.0553581517813088,0.2266414341626,9796.36985146417,6460.33030617607
HFX_RS11450,"",PAS domain S-box protein,protein_coding,WP_004059823.1,-0.27127080730418,0.183358941240462,0.0554102839294402,0.2266414341626,765.797629085325,584.984469500896
HFX_RS07630,ptfB,fructose PTS transporter subunit IIB,protein_coding,WP_004056895.1,0.338271545495381,0.274047715891282,0.0555931216189314,0.227150930891609,507.117213768698,789.653707584014
HFX_RS02250,"",cold shock domain-containing protein,protein_coding,WP_004057907.1,-0.352680054799105,0.311507146322702,0.0557116336949186,0.227168655652874,77990.9584710864,46207.1129376912
HFX_RS13125,"",twin-arginine translocation signal domain-containing protein,protein_coding,WP_004059460.1,-0.369724690952368,0.414316443626097,0.0557310647300223,0.227168655652874,38225.8039704997,17676.5117756678
HFX_RS00950,"",hypothetical protein,protein_coding,WP_137685656.1,0.367488199115651,0.390205713483174,0.0557722943714215,0.227168655652874,1486.54329946859,3027.32635308158
HFX_RS02830,"",hypothetical protein,protein_coding,WP_049917463.1,0.258389449211726,0.17137489105456,0.0558923361139124,0.227419964688967,277.535843221158,356.596432771222
HFX_RS12425,"",extracellular solute-binding protein,protein_coding,WP_004059626.1,0.371438398286297,0.483806522093327,0.0560634378481034,0.227784053269954,546.783797287894,1429.13729736937
HFX_RS06455,"",hypothetical protein,protein_coding,WP_014732272.1,-0.305522302624712,0.222971792913081,0.0561415463188266,0.227784053269954,157.08115160766,112.218363967798
HFX_RS07175,"",bis(5'-nucleosyl)-tetraphosphatase,protein_coding,WP_004056988.1,-0.308962634576688,0.227615354453913,0.056204183931988,0.227784053269954,4328.68880193613,3061.07163505664
HFX_RS14055,"",universal stress protein,protein_coding,WP_004059223.1,0.354642198029263,0.321590720485241,0.0562300537231027,0.227784053269954,2579.62520662138,4455.29187257359
HFX_RS12215,"",tubulin/FtsZ family protein,protein_coding,WP_004059669.1,-0.356192907728346,0.327973710798227,0.0562739977678208,0.227784053269954,44769.6317676665,25550.9205723278
HFX_RS08675,"",DNA glycosylase,protein_coding,WP_004056591.1,-0.360955442036601,0.352733395451463,0.0564706736525072,0.228343035163354,2852.67163692942,1535.48003160681
HFX_RS13400,"",SIMPL domain-containing protein,protein_coding,WP_004059357.1,0.315833116558102,0.237876343831696,0.0565329868907686,0.228358116995043,679.635379493901,981.457054865339
HFX_RS06450,"",hypothetical protein,protein_coding,WP_004057214.1,0.246998322864354,0.161740034515577,0.0568146861077991,0.229028369063211,853.131841674776,1073.77363365798
HFX_RS04250,"",DUF6684 family protein,protein_coding,WP_004057348.1,-0.356567161541364,0.334157238100787,0.056858329329103,0.229028369063211,9687.99718531036,5452.22445721333
HFX_RS17475,"",hypothetical protein,protein_coding,WP_004060977.1,-0.365505768186336,0.553623956761654,0.0568877525338803,0.229028369063211,557.052421407646,168.955257910667
HFX_RS16835,"",hypothetical protein,protein_coding,WP_004060619.1,0.368196475058802,0.513674850845519,0.0570641723965246,0.229028369063211,2298.31119152738,6589.25211120462
HFX_RS04185,"",ABC transporter permease subunit,protein_coding,WP_004057366.1,-0.297138169324852,0.21413703879123,0.0571517609024247,0.229028369063211,1283.27621143418,931.012518220245
HFX_RS06190,"",PH domain-containing protein,protein_coding,WP_004572403.1,0.25066713208108,0.165470740110395,0.0571955844379382,0.229028369063211,1418.56273369422,1799.21959524512
HFX_RS05390,"","2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase",protein_coding,WP_004572567.1,-0.351308630975694,0.315741393520057,0.0572044483871399,0.229028369063211,3304.69513322538,1942.53308371173
HFX_RS05160,"",SRPBCC family protein,protein_coding,WP_004572613.1,0.247382769663523,0.162461142682462,0.0572062560778254,0.229028369063211,6017.19394289367,7590.63772854452
HFX_RS08535,"",PLP-dependent cysteine synthase family protein,protein_coding,WP_004056649.1,-0.289160846839907,0.204827317231673,0.0572277145889091,0.229028369063211,6447.60789402218,4762.02416757082
HFX_RS19775,"",hypothetical protein,protein_coding,WP_137685709.1,-0.327251826291007,0.25808598792108,0.0573308742569856,0.229105158250354,314.718309517173,209.124456864034
HFX_RS17910,"",ParA family protein,protein_coding,WP_004060878.1,-0.321687264693272,0.248859829035949,0.0574211731227003,0.229105158250354,2139.62805567691,1452.88332717867
HFX_RS07730,aglJ,S-layer glycoprotein N-glycosyltransferase AglJ,protein_coding,WP_004056875.1,-0.359636932319893,0.355765048942806,0.0574232271961509,0.229105158250354,5367.802010098,2870.79742209968
HFX_RS17490,"",hypothetical protein,protein_coding,WP_004060974.1,-0.367817323135104,0.478386838799874,0.0575333135750642,0.229309669034356,184.103688746781,71.7714228269491
HFX_RS11935,"",gephyrin-like molybdotransferase Glp,protein_coding,WP_004059725.1,0.34720283061865,0.305024616339329,0.0577012124068911,0.229743948888725,8024.67519625575,13321.7754586217
HFX_RS09115,"",hypothetical protein,protein_coding,WP_004060393.1,-0.352445318521036,0.323903731095711,0.0578011262489629,0.229906928692304,747.578866986076,430.846383780652
HFX_RS01360,"",hypothetical protein,protein_coding,WP_004058279.1,0.209772321403814,0.1308495216049,0.0579489126227798,0.230259797557182,56209.1128503462,67501.2376037441
HFX_RS08435,"",hypothetical protein,protein_coding,WP_004056679.1,-0.29479592013192,0.214024315737157,0.0589049382342881,0.233636918783038,700.35077637391,510.279340484056
HFX_RS19880,"",hypothetical protein,protein_coding,WP_004058707.1,-0.327955734757787,0.263730849167093,0.0589186996315357,0.233636918783038,586.041906012665,386.56985499236
HFX_RS08650,"",transcription initiation factor IIB,protein_coding,WP_004056601.1,0.35460847034587,0.344434553718012,0.0590736105070493,0.234013144061462,35601.4281490216,64693.245103738
HFX_RS01710,"",hypothetical protein,protein_coding,WP_004058138.1,0.330967447309905,0.271062314861184,0.0593709698192478,0.234952325233937,362.27378281973,558.875594784259
HFX_RS17495,"",Gfo/Idh/MocA family oxidoreductase,protein_coding,WP_004060973.1,-0.359558140248943,0.52603861028735,0.0601070973951611,0.237532836509082,1202.68909623255,400.197900687435
HFX_RS12660,"",TATA-box-binding protein,protein_coding,WP_004059579.1,-0.285850318642393,0.20521404044413,0.0601951137143153,0.237532836509082,20908.5264373789,15469.7130107557
HFX_RS17150,"",PadR family transcriptional regulator,protein_coding,WP_004061045.1,0.265186457409766,0.182753738204496,0.0602356276376476,0.237532836509082,638.239096272405,830.545217905175
HFX_RS07670,leuD,3-isopropylmalate dehydratase small subunit,protein_coding,WP_004056887.1,-0.35917083415892,0.400936522371582,0.0602667971543052,0.237532836509082,2101.2731659223,1007.00361999503
HFX_RS12405,"",PGF-pre-PGF domain-containing protein,protein_coding,WP_004059630.1,0.360876459653905,0.458587720622004,0.0604939178157419,0.237698227359882,306618.861800374,746880.056989797
HFX_RS14115,"",tRNA-Arg,tRNA,"",-0.316945384425251,0.248286856370043,0.0605210512369603,0.237698227359882,375.114956547,256.646168754358
HFX_RS05200,"",sodium:proton antiporter,protein_coding,WP_004572605.1,-0.356924570060933,0.382770478036468,0.0606353319068813,0.237698227359882,1161.3963585566,582.218594654621
HFX_RS00940,"",DNA mismatch repair protein MutS,protein_coding,WP_004058443.1,-0.282797270905123,0.202293448305187,0.0606402497029727,0.237698227359882,3875.62786827146,2883.6910701011
HFX_RS08305,"",gas vesicle protein GvpD basic region 2 domain-containing protein,protein_coding,WP_014732346.1,0.337680198191014,0.291436798747179,0.0606618469727756,0.237698227359882,1139.01853871893,1830.29867594608
HFX_RS16460,"",MaoC family dehydratase,protein_coding,WP_014732690.1,0.349162023683691,0.331846084567063,0.0607478166506925,0.237698227359882,1097.27156809431,1934.09958344354
HFX_RS13925,"",Lrp/AsnC family transcriptional regulator,protein_coding,WP_004059252.1,-0.238784047754707,0.157857933594639,0.0607592901999353,0.237698227359882,1158.7254546108,927.315819705308
HFX_RS12360,"",hypothetical protein,protein_coding,WP_004059639.1,0.283127477883712,0.203017321288943,0.060892904930138,0.237698227359882,1847.1469282397,2483.86669953234
HFX_RS08290,gvpN,gas vesicle protein GvpN,protein_coding,WP_004056708.1,0.348644014800393,0.330634570822974,0.0608983050207524,0.237698227359882,682.843729705492,1200.66005473375
HFX_RS07610,"",hypothetical protein,protein_coding,WP_004056900.1,-0.250676927294504,0.16911946853728,0.0609266215997031,0.237698227359882,5223.60858592316,4108.84658242594
HFX_RS07455,"",trehalose utilization protein ThuA,protein_coding,WP_004056931.1,0.263325183424403,0.181677747369503,0.0609795349820117,0.237698227359882,816.855203882534,1058.09595573281
HFX_RS01115,"",hypothetical protein,protein_coding,WP_004058377.1,-0.325356751864714,0.265158411439607,0.0612036120727041,0.238333346512888,1222.1130619265,805.465422092922
HFX_RS01580,"",tRNA(Ile)(2)-agmatinylcytidine synthase,protein_coding,WP_004058186.1,-0.350846325283439,0.346096199781872,0.061343041282251,0.238637899119974,1959.98966564923,1075.77337432683
HFX_RS08700,"",hypothetical protein,protein_coding,WP_004056582.1,0.297433076876857,0.221474360980388,0.0614564934910793,0.238840888961343,229.869511952718,318.708588913622
HFX_RS05820,"",hypothetical protein,protein_coding,WP_004572479.1,-0.319800845076774,0.255861084087107,0.0616358945529086,0.239299518891671,1235.81606426567,830.54876560236
HFX_RS12910,"",pentapeptide repeat-containing protein,protein_coding,WP_004059526.1,0.357007937630192,0.416740242131724,0.0617977776984901,0.239689291013646,2055.52675402366,4470.13182393788
HFX_RS16845,"",GNAT family N-acetyltransferase,protein_coding,WP_081603739.1,0.353139761445607,0.371440927029551,0.0620211730564708,0.239902842022983,96.6978734066404,188.776406487504
HFX_RS19830,"",hypothetical protein,protein_coding,WP_155844702.1,-0.357059197116984,0.43089329622404,0.0620340835111885,0.239902842022983,70.1058179728673,31.3315453803202
HFX_RS16510,"",universal stress protein,protein_coding,WP_004056131.1,0.357231137381232,0.438501278848517,0.0620449840945549,0.239902842022983,802.961967945879,1851.95542661593
HFX_RS06730,"",Xaa-Pro peptidase family protein,protein_coding,WP_004057133.1,0.337543292561931,0.297306690849969,0.0620990168294484,0.239902842022983,7935.68892919317,12891.6022249471
HFX_RS03785,ppsA,phosphoenolpyruvate synthase,protein_coding,WP_004057448.1,-0.332001275865056,0.282767561188257,0.0621666711535875,0.239926419957113,51675.4655106163,32855.6669633115
HFX_RS06095,"",DsbA family protein,protein_coding,WP_004572422.1,-0.350832832363434,0.357383042224665,0.0623310979048901,0.24032306590827,6651.58851146973,3555.88670279781
HFX_RS06305,"",hypothetical protein,protein_coding,WP_004057243.1,-0.329975121356123,0.279095030965996,0.0624988420882614,0.240559735113523,70.9154551413783,45.6802748559288
HFX_RS17500,"",DegT/DnrJ/EryC1/StrS family aminotransferase,protein_coding,WP_004060972.1,-0.353126951495624,0.53008530988325,0.0625159085864544,0.240559735113523,1734.94084270546,565.824202052248
HFX_RS04925,coxB,cytochrome c oxidase subunit II,protein_coding,WP_004572659.1,-0.350064385070877,0.356223286421648,0.0626735919658592,0.240928660239565,20152.2327578478,10807.2623377577
HFX_RS16515,"",CBS domain-containing protein,protein_coding,WP_004056130.1,0.355811563594481,0.440721969532995,0.0627424728751463,0.240955821938247,610.797283253718,1417.86390240077
HFX_RS14585,"",hypothetical protein,protein_coding,WP_004058969.1,-0.328564146783113,0.276878852399376,0.0628098044310327,0.240976985897801,1789.93146116324,1152.69564462978
HFX_RS04180,"",FAD-dependent oxidoreductase,protein_coding,WP_004057367.1,-0.301594048976159,0.229743882835497,0.0629551158945597,0.241237158068353,6929.85718397147,4913.45499431459
HFX_RS05270,"",diphthine--ammonia ligase,protein_coding,WP_004572591.1,-0.347512112803584,0.343395426720629,0.0630013922302676,0.241237158068353,1527.66570317488,844.887734871277
HFX_RS01990,"",phosphonate ABC transporter ATP-binding protein,protein_coding,WP_004058018.1,0.253089786590346,0.173788432430611,0.0632754632008793,0.24204882782829,531.439527630754,680.80177452908
HFX_RS05170,"",FAD-dependent oxidoreductase,protein_coding,WP_004572611.1,-0.32988784482404,0.282002628148721,0.0633889070974726,0.242245058692106,1424.82588799145,907.832540426002
HFX_RS03735,"",hypothetical protein,protein_coding,WP_004057458.1,0.252172991162238,0.17306734291178,0.0634634387372819,0.242292344953893,3395.47322731758,4336.02037775721
HFX_RS09055,"",hypothetical protein,protein_coding,WP_014732574.1,0.269959761666762,0.1919406360607,0.0638256045498436,0.243436601306546,313.017510475512,413.2010365655
HFX_RS00860,"",histidine kinase N-terminal 7TM domain-containing protein,protein_coding,WP_004058479.1,-0.297155959676459,0.225190946246642,0.0639070963853279,0.243459154908071,1392.80620181535,996.286849049995
HFX_RS03960,nth,endonuclease III,protein_coding,WP_004057413.1,-0.336248689446843,0.302273321218323,0.0639943004759221,0.243459154908071,2058.30594819168,1254.67979684505
HFX_RS18250,cas4,CRISPR-associated protein Cas4,protein_coding,WP_004060808.1,-0.308995706483674,0.242960736510376,0.0640188901438616,0.243459154908071,83.718238854664,57.5302170821562
HFX_RS17535,"",hypothetical protein,protein_coding,WP_004060965.1,-0.347584799287,0.358235076334743,0.0642448299548186,0.243889388529573,1546.66649958382,825.793615044878
HFX_RS06025,"",metal-dependent hydrolase,protein_coding,WP_004572437.1,-0.275818780136698,0.199034438170148,0.0642571580348566,0.243889388529573,408.87296657754,306.429568003677
HFX_RS10505,"",J domain-containing protein,protein_coding,WP_014732529.1,0.308752583773628,0.243890535440256,0.0646524001348586,0.245150832417975,1205.08264592833,1745.44831136352
HFX_RS18620,"",hypothetical protein,protein_coding,WP_004060714.1,0.241659499997325,0.164215116054305,0.0649085366146266,0.245853108131336,979.971318776564,1230.91705740014
HFX_RS13955,"",digeranylgeranylglycerophospholipid reductase,protein_coding,WP_004059246.1,-0.33543979993547,0.304454056951933,0.0649637509941703,0.245853108131336,16597.2679578032,10080.4405970291
HFX_RS13795,"",30S ribosomal protein S19e,protein_coding,WP_004059279.1,-0.338274895087825,0.315337754287789,0.0650674708206017,0.246006790745592,28929.6393163049,17137.6701966432
HFX_RS04495,"",hypothetical protein,protein_coding,WP_014732208.1,-0.313671142458975,0.253489197620716,0.0651911308004852,0.246235492112685,432.515047343052,292.560799127272
HFX_RS09755,"",mechanosensitive ion channel family protein,protein_coding,WP_004060235.1,-0.33388126504477,0.300866198436163,0.0652734279961045,0.246307669243771,1633.30063516883,999.877802443509
HFX_RS05530,"",CbiX/SirB N-terminal domain-containing protein,protein_coding,WP_004572537.1,-0.281137878265892,0.206942162659493,0.0655000828370852,0.246802413004147,2339.49442475919,1732.92821046931
